,ID,MT,participant,repetition,step
0,1.3207324293889502,0.8969198904472451,0,0,0
1,1.5751519932543523,0.999570066767944,1,0,0
2,3.855876266465793,2.1914014362928578,2,0,0
3,1.550391736442704,0.9440634652618728,0,0,1
4,0.8433151075983427,0.4062425303454488,1,0,1
5,1.9625996847258618,1.1844121608419338,2,0,1
6,1.2346618500375104,0.8664248126528986,0,0,2
7,2.2686315978136564,0.5434509687975303,1,0,2
8,2.4725195792177117,1.3345026120877814,2,0,2
9,4.2572480328783975,2.7089741385808326,0,0,3
10,4.624434327406716,2.776435231140372,1,0,3
11,3.845779369867506,2.832225032488958,2,0,3
12,4.06687738035749,2.702417598318803,0,0,4
13,3.560119003983463,2.6331511601350304,1,0,4
14,1.346791339281827,0.9279610629402185,2,0,4
