,chain,draw,a_pop,b_pop,"('a[0]', 0)","('a[10]', 10)","('a[11]', 11)","('a[12]', 12)","('a[13]', 13)","('a[14]', 14)","('a[15]', 15)","('a[1]', 1)","('a[2]', 2)","('a[3]', 3)","('a[4]', 4)","('a[5]', 5)","('a[6]', 6)","('a[7]', 7)","('a[8]', 8)","('a[9]', 9)","('b[0]', 0)","('b[10]', 10)","('b[11]', 11)","('b[12]', 12)","('b[13]', 13)","('b[14]', 14)","('b[15]', 15)","('b[1]', 1)","('b[2]', 2)","('b[3]', 3)","('b[4]', 4)","('b[5]', 5)","('b[6]', 6)","('b[7]', 7)","('b[8]', 8)","('b[9]', 9)",a_std,b_std,sigma
0,0,0,0.09702333501542572,0.4494653302308113,0.07990135131668769,0.08633452219866443,0.14744097116987007,0.08808248146616644,0.09180641183480208,0.12476704990204744,0.08334585827138376,0.15822747136697252,0.05525083441059921,0.11380587105121008,0.039433073633901604,0.11516629817412392,0.017450041132384988,0.09290137576771652,0.12176420066416623,0.09779748340262573,0.4948676386128949,0.43277911187686413,0.4672486947720516,0.418685902109703,0.46053304078711665,0.49514105381577433,0.48797177166071554,0.39612960612382336,0.5260756449957411,0.4586654931274817,0.45135648763450337,0.44142417716043025,0.48043666426779774,0.41648778890248095,0.3603465224514977,0.4842424169876947,0.03136439894351873,0.029186904930211532,0.27277529695855396
1,0,1,0.1460469870378234,0.45861914097966916,0.17678826786265928,0.14595765179794476,0.15985835753580266,0.20020192107839652,0.08800075724403157,0.14734718835919852,0.15787448655016212,0.06704125583108543,0.1388536397300671,0.10467966926681717,0.13942155408623105,0.14009795137489323,0.16378576828761474,0.12526535609359304,0.06624141608384378,0.10463655716456347,0.45670665327474935,0.4179288622496549,0.44495305851648576,0.4099679218516289,0.43158493336610837,0.3881972443688514,0.5190057314511418,0.408023670728346,0.47010620620645877,0.4667654764340867,0.4029611921473356,0.46743353720949116,0.38316563843483287,0.3865743189957907,0.41325592366205727,0.5246007944679102,0.04485797887443117,0.04828383302114911,0.28456810692426326
2,0,2,0.05979981689823152,0.4554390868924513,0.06468213093392526,0.06557246643182148,0.0552721690079107,-0.001954927568963974,0.08804954015200435,0.020173819548642762,0.05647573034988598,0.09919108530488566,0.11951774787544987,0.11941227163271056,0.04495096065765604,0.07606229377320706,0.05964327468141649,0.06138396268805155,0.11737415137823559,0.177209471205503,0.5196577695010685,0.42321002347447534,0.4947061778171763,0.44085334574118146,0.4463669256272326,0.5078581482345448,0.476643333738994,0.40724552037030987,0.45524158164985223,0.42680603567890935,0.45412151778510085,0.46354009311631694,0.45095976307188423,0.41449972699890847,0.33447813369719737,0.4711779295007346,0.03579400602087822,0.06795969664403892,0.2895614686633704
3,0,3,0.12116464827128293,0.4682245924482995,0.13751658973710384,0.1008599179807505,0.152157909335663,0.16100544439261563,0.08382791178233981,0.09089737630004374,0.1280447395139682,0.060809326122099466,0.06303875802162806,0.0509023693095012,0.12236339904233352,0.09801045136209209,0.10379068905328183,0.124837668435042,0.038482137391096446,0.07413533922683734,0.44130229633504076,0.44803744859137346,0.44823669736068356,0.4547348740608379,0.4508276058689238,0.3881634050071235,0.48503884747994147,0.4311584340480014,0.4836641011086076,0.4967639277517906,0.42466723283589747,0.47589405992707545,0.4224464444003472,0.4257884994197485,0.4560696155892766,0.517653458087769,0.051801524594307986,0.04098628107074959,0.2823273374245168
4,0,4,0.07796193940667612,0.42600922531128255,0.06058647095587219,0.09585763103417273,0.055583718352406136,0.05232512387347748,0.09889909404653595,0.08200817647282507,0.06257903183086141,0.1068037025567706,0.11123909110276324,0.1272200720718335,0.07331140117159268,0.09963366896233047,0.03914222820616157,0.08133097123266046,0.14944193689795335,0.10217777702776835,0.5653038086483694,0.41177761954739545,0.5065691744087409,0.41432692317513015,0.42939176415295366,0.5105269704353226,0.5085525004014253,0.4060023153320582,0.4930083349718891,0.45175037277074614,0.42017906560874685,0.4605927964523075,0.450439193900208,0.4061870366287785,0.3324601869459815,0.4885796637198929,0.026527269975357308,0.06028896615173683,0.2782148201842164
5,0,5,0.0968190329901756,0.44881852328941774,0.10508586858468064,0.09652588358161834,0.11637085788844756,0.14523338913242392,0.08004238597952211,0.11263006222226114,0.11184235645656425,0.08534567929857913,0.06683205656779558,0.1193470887833579,0.0663674926763949,0.11371256127306177,0.14152891822003133,0.120306665238434,0.06244617438977607,0.10374362566621649,0.5119870090002523,0.41841811507584126,0.4915116338536129,0.4496388293363739,0.4405838361618674,0.47081419866850044,0.4976553294014885,0.3965194293520072,0.48404851364496526,0.4310011600296412,0.4929530737958614,0.4662969232760784,0.42295557052804295,0.4003436600105849,0.3882546966563629,0.49995151104862345,0.023970987823136544,0.04511774605566497,0.2957484871798009
6,0,6,0.07753962374336211,0.45375491167027315,0.08816088098551116,0.12466943577373638,0.14585221397136983,0.0730647103680533,0.12145491812220834,0.09288084815159554,0.06930639434305401,0.06192150273713807,0.14344321396110896,0.07352035652772061,0.05490344421555753,0.09942655711552953,0.01296264931726865,0.10141980398560928,0.13378647615359804,0.07604395558884162,0.458038188875685,0.4495478569419052,0.4724928618155072,0.4454531356985036,0.4351204010758912,0.4171064489796485,0.5293427899645001,0.41937347500467315,0.46053064123747245,0.4176817417756682,0.40422470606162847,0.446545252862444,0.42172571792933006,0.39096426108062193,0.38268782633473386,0.547881344851904,0.03892554071990472,0.03894614941681151,0.2852911330258952
7,0,7,0.06838419655380448,0.4684680301208932,0.10508287051075667,0.10244858168200842,0.14657961450878124,0.08046187401236754,0.011344824744235043,0.03860075776460321,0.16108458115307428,0.06260564625174068,0.06056658887563019,0.05220826430825575,0.08552119295443934,0.1214038966015134,0.056751947640947965,0.022314785053975043,0.031915585028764654,0.20076119009853857,0.48442335752481813,0.45373388987300783,0.497117801409274,0.4267014010302075,0.46088326900235704,0.474665839587326,0.45409303395443273,0.4172253465524361,0.5090467985429415,0.4781296084551825,0.43653763801284207,0.4961059834069658,0.42005653630571294,0.4212899856389683,0.43294131914272094,0.48580010439105237,0.04423970504785225,0.0288925305667871,0.2778052109898635
8,0,8,0.07734739290549847,0.45291261347462625,0.07763519977431045,0.09180664306528213,0.08936031253293383,0.08271967246292988,0.01142126016453543,0.011918665757788724,0.056616899312822204,0.08124180204910068,0.09189367772919223,0.0910356548976989,0.006739726910779479,0.08260677147119101,0.015558049493094403,0.06890269426348289,0.012320428974723201,0.07662946559246255,0.4839539174406381,0.44891549034637607,0.49870744979014997,0.44464071413199324,0.4712655627622142,0.4786257502212801,0.4914546067021958,0.4071919071246901,0.4856188579490543,0.4567432820438177,0.48618667125529125,0.46802380739182553,0.4411633749503526,0.4339077171589499,0.4283045367742896,0.4845051724852473,0.04834273283918709,0.029815796898479876,0.27973318449505724
9,0,9,0.13538010703742326,0.45638162669333654,0.0922072927721948,0.09367039292554637,0.17153305084823936,0.10313818728144869,0.1291579142889844,0.12254548997494207,0.12399103770294549,0.0508191320299533,0.0701926923021631,0.1214301183650281,0.10401671440709542,0.07984134543768799,0.10380919249652001,0.10089403594272822,0.08480283119323648,0.15318318065220268,0.48380649783308716,0.4584198615370183,0.4448087718048925,0.4560771453305983,0.43247616790179194,0.46218421110670066,0.49984075616717466,0.43994400358097374,0.4904620624154478,0.437841778368254,0.4100344984384405,0.46597821177636334,0.434376142633305,0.4256660473179318,0.41737630923020974,0.4845110917972567,0.03920466960179327,0.02423060732789773,0.2854395659812022
